city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Apia,Apia,-13.8333,-171.75,Samoa,WS,WSM,Tuamasaga,primary,37708.0,1882489296
Afega,Afega,-13.8019,-171.8217,Samoa,WS,WSM,Tuamasaga,admin,1998.0,1882284139
Safotu,Safotu,-13.4528,-172.4036,Samoa,WS,WSM,Gagaifomauga,admin,1270.0,1882879383
Leulumoega,Leulumoega,-13.8167,-171.9167,Samoa,WS,WSM,A‘ana,admin,1184.0,1882782502
Asau,Asau,-13.5194,-172.6372,Samoa,WS,WSM,Vaisigano,admin,1133.0,1882504626
Lufilufi,Lufilufi,-13.85,-171.5833,Samoa,WS,WSM,Atua,admin,949.0,1882092632
Vailoa,Vailoa,-13.7558,-172.3064,Samoa,WS,WSM,Palauli,admin,784.0,1882047846
Saleaula,Saleaula,-13.4501,-172.3335,Samoa,WS,WSM,Gaga‘emauga,admin,600.0,1882605280
Samamea,Samamea,-13.9333,-171.5333,Samoa,WS,WSM,Va‘a-o-Fonoti,admin,45.0,1882468874
Safotulafai,Safotulafai,-13.6817,-172.185,Samoa,WS,WSM,Fa‘asaleleaga,admin,,1882524892
Mulifanua,Mulifanua,-13.8333,-171.9833,Samoa,WS,WSM,Aiga-i-le-Tai,admin,,1882029963
Satupa‘itea,Satupa`itea,-13.7659,-172.3269,Samoa,WS,WSM,Satupa‘itea,admin,,1882940042
Apia,Apia,-13.8333,-171.75,Samoa,WS,WSM,Tuamasaga,primary,37708.0,1882489296
Afega,Afega,-13.8019,-171.8217,Samoa,WS,WSM,Tuamasaga,admin,1998.0,1882284139
Safotu,Safotu,-13.4528,-172.4036,Samoa,WS,WSM,Gagaifomauga,admin,1270.0,1882879383
Leulumoega,Leulumoega,-13.8167,-171.9167,Samoa,WS,WSM,A‘ana,admin,1184.0,1882782502
Asau,Asau,-13.5194,-172.6372,Samoa,WS,WSM,Vaisigano,admin,1133.0,1882504626
Lufilufi,Lufilufi,-13.85,-171.5833,Samoa,WS,WSM,Atua,admin,949.0,1882092632
Vailoa,Vailoa,-13.7558,-172.3064,Samoa,WS,WSM,Palauli,admin,784.0,1882047846
Saleaula,Saleaula,-13.4501,-172.3335,Samoa,WS,WSM,Gaga‘emauga,admin,600.0,1882605280
Samamea,Samamea,-13.9333,-171.5333,Samoa,WS,WSM,Va‘a-o-Fonoti,admin,45.0,1882468874
Safotulafai,Safotulafai,-13.6817,-172.185,Samoa,WS,WSM,Fa‘asaleleaga,admin,,1882524892
Mulifanua,Mulifanua,-13.8333,-171.9833,Samoa,WS,WSM,Aiga-i-le-Tai,admin,,1882029963
Satupa‘itea,Satupa`itea,-13.7659,-172.3269,Samoa,WS,WSM,Satupa‘itea,admin,,1882940042
