city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Serravalle,Serravalle,43.9717,12.4817,San Marino,SM,SMR,Serravalle,admin,10878.0,1674000000
Borgo Maggiore,Borgo Maggiore,43.945,12.4497,San Marino,SM,SMR,Borgo Maggiore,admin,6871.0,1674314187
San Marino,San Marino,43.9346,12.4473,San Marino,SM,SMR,San Marino Città,primary,4040.0,1674741947
Domagnano,Domagnano,43.95,12.4667,San Marino,SM,SMR,Domagnano,admin,3565.0,1674267133
Fiorentino,Fiorentino,43.9106,12.4556,San Marino,SM,SMR,Fiorentino,admin,2548.0,1674000001
Acquaviva,Acquaviva,43.9457,12.4185,San Marino,SM,SMR,Acquaviva,admin,2145.0,1674696011
Faetano,Faetano,43.9256,12.4983,San Marino,SM,SMR,Faetano,admin,1177.0,1674994606
Montegiardino,Montegiardino,43.9089,12.4844,San Marino,SM,SMR,Montegiardino,admin,967.0,1674000002
Chiesanuova,Chiesanuova,43.9061,12.4214,San Marino,SM,SMR,Chiesanuova,admin,,1674546686
Serravalle,Serravalle,43.9717,12.4817,San Marino,SM,SMR,Serravalle,admin,10878.0,1674000000
Borgo Maggiore,Borgo Maggiore,43.945,12.4497,San Marino,SM,SMR,Borgo Maggiore,admin,6871.0,1674314187
San Marino,San Marino,43.9346,12.4473,San Marino,SM,SMR,San Marino Città,primary,4040.0,1674741947
Domagnano,Domagnano,43.95,12.4667,San Marino,SM,SMR,Domagnano,admin,3565.0,1674267133
Fiorentino,Fiorentino,43.9106,12.4556,San Marino,SM,SMR,Fiorentino,admin,2548.0,1674000001
Acquaviva,Acquaviva,43.9457,12.4185,San Marino,SM,SMR,Acquaviva,admin,2145.0,1674696011
Faetano,Faetano,43.9256,12.4983,San Marino,SM,SMR,Faetano,admin,1177.0,1674994606
Montegiardino,Montegiardino,43.9089,12.4844,San Marino,SM,SMR,Montegiardino,admin,967.0,1674000002
Chiesanuova,Chiesanuova,43.9061,12.4214,San Marino,SM,SMR,Chiesanuova,admin,,1674546686
