city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Freetown,Freetown,8.4844,-13.2344,Sierra Leone,SL,SLE,Western Area,primary,951000.0,1694085071
Bo,Bo,7.9564,-11.74,Sierra Leone,SL,SLE,Southern,admin,233684.0,1694651111
Kenema,Kenema,7.8758,-11.1908,Sierra Leone,SL,SLE,Eastern,admin,188463.0,1694780903
Koidu,Koidu,8.6439,-10.9717,Sierra Leone,SL,SLE,Eastern,,124662.0,1694710002
Koidu-Bulma,Koidu-Bulma,8.4405,-10.85,Sierra Leone,SL,SLE,Eastern,,87539.0,1694104584
Port Loko,Port Loko,8.7667,-12.7875,Sierra Leone,SL,SLE,North Western,admin,44900.0,1694778676
Tongoma,Tongoma,8.65,-11.0667,Sierra Leone,SL,SLE,Eastern,,44376.0,1694227218
Magburaka,Magburaka,8.7169,-11.9433,Sierra Leone,SL,SLE,Northern,,40313.0,1694067081
Kambia,Kambia,9.1167,-12.9167,Sierra Leone,SL,SLE,Northern,,40000.0,1694846063
Lunsar,Lunsar,8.6833,-12.5333,Sierra Leone,SL,SLE,Northern,,36108.0,1694711563
Newton,Newton,8.3333,-13.0667,Sierra Leone,SL,SLE,Western Area,,35300.0,1694000067
Motema,Motema,8.6167,-11.1667,Sierra Leone,SL,SLE,Eastern,,30452.0,1694972469
Kailahun,Kailahun,8.2772,-10.5739,Sierra Leone,SL,SLE,Eastern,,30411.0,1694287163
Benguema,Benguema,8.3333,-13.0667,Sierra Leone,SL,SLE,Western Area,,30268.0,1694621543
Pendembu,Pendembu,8.1,-10.7,Sierra Leone,SL,SLE,Eastern,,20502.0,1694288658
Pujehun,Pujehun,7.3506,-11.7181,Sierra Leone,SL,SLE,Southern,,20121.0,1694026620
Kabala,Kabala,9.5833,-11.55,Sierra Leone,SL,SLE,Northern,,18770.0,1694931423
Leicester,Leicester,8.45,-13.2167,Sierra Leone,SL,SLE,Western Area,,18678.0,1694657802
Segbwema,Segbwema,8.0,-10.95,Sierra Leone,SL,SLE,Eastern,,16532.0,1694704842
Bumpe,Bumpe,7.8919,-11.9025,Sierra Leone,SL,SLE,Southern,,16123.0,1694169724
Mongeri,Mongeri,8.3167,-11.7333,Sierra Leone,SL,SLE,Southern,,14273.0,1694288062
Binkolo,Binkolo,8.95,-11.9833,Sierra Leone,SL,SLE,Northern,,13867.0,1694588159
Yengema,Yengema,8.6167,-11.1667,Sierra Leone,SL,SLE,Eastern,,13358.0,1694224678
Rokupr,Rokupr,9.0167,-12.95,Sierra Leone,SL,SLE,Northern,,12744.0,1694701972
Makeni,Makeni,8.8817,-12.0442,Sierra Leone,SL,SLE,Northern,admin,12304.0,1694028641
Gandorhun,Gandorhun,7.5564,-11.6925,Sierra Leone,SL,SLE,Southern,,12288.0,1694102369
Moyamba,Moyamba,8.1606,-12.4333,Sierra Leone,SL,SLE,Southern,,11485.0,1694534088
Bonthe,Bonthe,7.5264,-12.505,Sierra Leone,SL,SLE,Southern,,10206.0,1694831211
Freetown,Freetown,8.4844,-13.2344,Sierra Leone,SL,SLE,Western Area,primary,951000.0,1694085071
Bo,Bo,7.9564,-11.74,Sierra Leone,SL,SLE,Southern,admin,233684.0,1694651111
Kenema,Kenema,7.8758,-11.1908,Sierra Leone,SL,SLE,Eastern,admin,188463.0,1694780903
Koidu,Koidu,8.6439,-10.9717,Sierra Leone,SL,SLE,Eastern,,124662.0,1694710002
Koidu-Bulma,Koidu-Bulma,8.4405,-10.85,Sierra Leone,SL,SLE,Eastern,,87539.0,1694104584
Port Loko,Port Loko,8.7667,-12.7875,Sierra Leone,SL,SLE,North Western,admin,44900.0,1694778676
Tongoma,Tongoma,8.65,-11.0667,Sierra Leone,SL,SLE,Eastern,,44376.0,1694227218
Magburaka,Magburaka,8.7169,-11.9433,Sierra Leone,SL,SLE,Northern,,40313.0,1694067081
Kambia,Kambia,9.1167,-12.9167,Sierra Leone,SL,SLE,Northern,,40000.0,1694846063
Lunsar,Lunsar,8.6833,-12.5333,Sierra Leone,SL,SLE,Northern,,36108.0,1694711563
Newton,Newton,8.3333,-13.0667,Sierra Leone,SL,SLE,Western Area,,35300.0,1694000067
Motema,Motema,8.6167,-11.1667,Sierra Leone,SL,SLE,Eastern,,30452.0,1694972469
Kailahun,Kailahun,8.2772,-10.5739,Sierra Leone,SL,SLE,Eastern,,30411.0,1694287163
Benguema,Benguema,8.3333,-13.0667,Sierra Leone,SL,SLE,Western Area,,30268.0,1694621543
Pendembu,Pendembu,8.1,-10.7,Sierra Leone,SL,SLE,Eastern,,20502.0,1694288658
Pujehun,Pujehun,7.3506,-11.7181,Sierra Leone,SL,SLE,Southern,,20121.0,1694026620
Kabala,Kabala,9.5833,-11.55,Sierra Leone,SL,SLE,Northern,,18770.0,1694931423
Leicester,Leicester,8.45,-13.2167,Sierra Leone,SL,SLE,Western Area,,18678.0,1694657802
Segbwema,Segbwema,8.0,-10.95,Sierra Leone,SL,SLE,Eastern,,16532.0,1694704842
Bumpe,Bumpe,7.8919,-11.9025,Sierra Leone,SL,SLE,Southern,,16123.0,1694169724
Mongeri,Mongeri,8.3167,-11.7333,Sierra Leone,SL,SLE,Southern,,14273.0,1694288062
Binkolo,Binkolo,8.95,-11.9833,Sierra Leone,SL,SLE,Northern,,13867.0,1694588159
Yengema,Yengema,8.6167,-11.1667,Sierra Leone,SL,SLE,Eastern,,13358.0,1694224678
Rokupr,Rokupr,9.0167,-12.95,Sierra Leone,SL,SLE,Northern,,12744.0,1694701972
Makeni,Makeni,8.8817,-12.0442,Sierra Leone,SL,SLE,Northern,admin,12304.0,1694028641
Gandorhun,Gandorhun,7.5564,-11.6925,Sierra Leone,SL,SLE,Southern,,12288.0,1694102369
Moyamba,Moyamba,8.1606,-12.4333,Sierra Leone,SL,SLE,Southern,,11485.0,1694534088
Bonthe,Bonthe,7.5264,-12.505,Sierra Leone,SL,SLE,Southern,,10206.0,1694831211
