city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ljubljana,Ljubljana,46.0514,14.5061,Slovenia,SI,SVN,Ljubljana,primary,284293.0,1705917455
Maribor,Maribor,46.5575,15.6456,Slovenia,SI,SVN,Maribor,admin,97019.0,1705454394
Celje,Celje,46.2358,15.2675,Slovenia,SI,SVN,Celje,admin,37872.0,1705563326
Kranj,Kranj,46.2333,14.3667,Slovenia,SI,SVN,Kranj,admin,37553.0,1705842003
Koper,Koper,45.55,13.7333,Slovenia,SI,SVN,Koper,admin,25753.0,1705478862
Velenje,Velenje,46.3625,15.1144,Slovenia,SI,SVN,Velenje,admin,25594.0,1705929589
Novo Mesto,Novo Mesto,45.8,15.1667,Slovenia,SI,SVN,Novo Mesto,admin,24183.0,1705849587
Ptuj,Ptuj,46.4194,15.8694,Slovenia,SI,SVN,Ptuj,admin,17959.0,1705072535
Trbovlje,Trbovlje,46.15,15.05,Slovenia,SI,SVN,Trbovlje,admin,13822.0,1705370010
Kamnik,Kamnik,46.2257,14.612,Slovenia,SI,SVN,Kamnik,admin,13800.0,1705864078
Nova Gorica,Nova Gorica,45.9558,13.6433,Slovenia,SI,SVN,Nova Gorica,admin,13031.0,1705939355
Izola,Izola,45.5344,13.6675,Slovenia,SI,SVN,Izola,admin,11682.0,1705476087
Škofja Loka,Skofja Loka,46.1672,14.303,Slovenia,SI,SVN,Škofja Loka,admin,11671.0,1705743622
Murska Sobota,Murska Sobota,46.6667,16.1667,Slovenia,SI,SVN,Murska Sobota,admin,11107.0,1705129726
Postojna,Postojna,45.7759,14.2137,Slovenia,SI,SVN,Postojna,admin,9605.0,1705090259
Logatec,Logatec,45.9167,14.2297,Slovenia,SI,SVN,Logatec,admin,9091.0,1705275257
Vrhnika,Vrhnika,45.9624,14.2937,Slovenia,SI,SVN,Vrhnika,admin,8969.0,1705071756
Jesenice,Jesenice,46.4366,14.0602,Slovenia,SI,SVN,Jesenice,admin,8399.0,1705471403
Slovenska Bistrica,Slovenska Bistrica,46.3903,15.575,Slovenia,SI,SVN,Slovenska Bistrica,admin,8219.0,1705359875
Kočevje,Kocevje,45.643,14.8594,Slovenia,SI,SVN,Kočevje,admin,8151.0,1705859832
Grosuplje,Grosuplje,45.9551,14.6562,Slovenia,SI,SVN,Grosuplje,admin,7703.0,1705847148
Ravne na Koroškem,Ravne na Koroskem,46.5437,14.9642,Slovenia,SI,SVN,Ravne na Koroškem,admin,7363.0,1705757622
Slovenj Gradec,Slovenj Gradec,46.5094,15.0792,Slovenia,SI,SVN,Slovenj Gradec,admin,7249.0,1705845238
Brežice,Brezice,45.9048,15.5922,Slovenia,SI,SVN,Brežice,admin,6843.0,1705251132
Ajdovščina,Ajdovscina,45.8861,13.9097,Slovenia,SI,SVN,Ajdovščina,admin,6843.0,1705580792
