city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa,ZA,ZAF,Gauteng,admin,8500000.0,1710550792
Cape Town,Cape Town,-33.9253,18.4239,South Africa,ZA,ZAF,Western Cape,primary,4770313.0,1710680650
Soweto,Soweto,-26.2678,27.8585,South Africa,ZA,ZAF,Gauteng,,1271628.0,1710627007
Gqeberha,Gqeberha,-33.9581,25.6,South Africa,ZA,ZAF,Eastern Cape,,967677.0,1710918997
Pietermaritzburg,Pietermaritzburg,-29.6167,30.3833,South Africa,ZA,ZAF,KwaZulu-Natal,admin,839327.0,1710690280
Durban,Durban,-29.8833,31.05,South Africa,ZA,ZAF,KwaZulu-Natal,,838634.0,1710149138
Pretoria,Pretoria,-25.7461,28.1881,South Africa,ZA,ZAF,Gauteng,primary,741651.0,1710176249
Rustenburg,Rustenburg,-25.6667,27.2428,South Africa,ZA,ZAF,North West,,549575.0,1710326039
Newcastle,Newcastle,-27.7464,29.9328,South Africa,ZA,ZAF,KwaZulu-Natal,,507710.0,1710031016
East London,East London,-33.0175,27.9047,South Africa,ZA,ZAF,Eastern Cape,,478676.0,1710178149
Katlehong,Katlehong,-26.3333,28.15,South Africa,ZA,ZAF,Gauteng,,467890.0,1710975690
Khayelitsha,Khayelitsha,-34.0403,18.6778,South Africa,ZA,ZAF,Western Cape,,391749.0,1710736316
Randburg,Randburg,-26.0936,28.0064,South Africa,ZA,ZAF,Gauteng,,337053.0,1710279034
Roodepoort,Roodepoort,-26.1625,27.8725,South Africa,ZA,ZAF,Gauteng,,326416.0,1710090212
Mitchells Plain,Mitchells Plain,-34.0506,18.6181,South Africa,ZA,ZAF,Western Cape,,310485.0,1710549821
Boksburg,Boksburg,-26.2125,28.2625,South Africa,ZA,ZAF,Gauteng,,260321.0,1710932183
Bloemfontein,Bloemfontein,-29.1167,26.2167,South Africa,ZA,ZAF,Free State,primary,256185.0,1710495933
Germiston,Germiston,-26.2178,28.1672,South Africa,ZA,ZAF,Gauteng,,255863.0,1710366382
Centurion,Centurion,-25.8603,28.1894,South Africa,ZA,ZAF,Gauteng,,236580.0,1710138774
Kimberley,Kimberley,-28.7383,24.7639,South Africa,ZA,ZAF,Northern Cape,admin,225160.0,1710282622
Sandton,Sandton,-26.107,28.0517,South Africa,ZA,ZAF,Gauteng,,222415.0,1710113163
Klerksdorp,Klerksdorp,-26.8667,26.6667,South Africa,ZA,ZAF,North West,,186515.0,1710416691
Bethelsdorp,Bethelsdorp,-33.8833,25.5,South Africa,ZA,ZAF,Eastern Cape,,182012.0,1710792781
Kempton Park,Kempton Park,-26.1,28.2333,South Africa,ZA,ZAF,Gauteng,,171575.0,1710287070
Nqutu,Nqutu,-28.232,30.566,South Africa,ZA,ZAF,KwaZulu-Natal,,170307.0,1710983407
Kroonstad,Kroonstad,-27.65,27.2333,South Africa,ZA,ZAF,Free State,,168762.0,1710508288
Benoni,Benoni,-26.1883,28.3206,South Africa,ZA,ZAF,Gauteng,,158777.0,1710880986
George,George,-33.9667,22.45,South Africa,ZA,ZAF,Western Cape,,157394.0,1710164136
Potchefstroom,Potchefstroom,-26.715,27.1033,South Africa,ZA,ZAF,North West,,148804.0,1710838885
Pinetown,Pinetown,-29.8167,30.85,South Africa,ZA,ZAF,KwaZulu-Natal,,144026.0,1710417771
Krugersdorp,Krugersdorp,-26.1,27.7667,South Africa,ZA,ZAF,Gauteng,,140643.0,1710772829
Mthatha,Mthatha,-31.58,28.79,South Africa,ZA,ZAF,Eastern Cape,,137772.0,1710651314
Polokwane,Polokwane,-23.9,29.45,South Africa,ZA,ZAF,Limpopo,admin,130028.0,1710908010
Springs,Springs,-26.2547,28.4428,South Africa,ZA,ZAF,Gauteng,,121610.0,1710058382
Alberton,Alberton,-26.2672,28.1219,South Africa,ZA,ZAF,Gauteng,,121536.0,1710738396
Upington,Upington,-28.45,21.25,South Africa,ZA,ZAF,Northern Cape,,121189.0,1710210449
Winterveld,Winterveld,-25.42,27.949,South Africa,ZA,ZAF,North West,,120826.0,1710631370
Parow,Parow,-33.9,18.6,South Africa,ZA,ZAF,Western Cape,,119462.0,1710483674
Paarl,Paarl,-33.7242,18.9558,South Africa,ZA,ZAF,Western Cape,,112045.0,1710440011
Empangeni,Empangeni,-28.75,31.9,South Africa,ZA,ZAF,KwaZulu-Natal,,110340.0,1710623921
Witbank,Witbank,-25.877,29.201,South Africa,ZA,ZAF,Mpumalanga,,108673.0,1710724527
Uitenhage,Uitenhage,-33.7667,25.4,South Africa,ZA,ZAF,Eastern Cape,,103639.0,1710276157
KwaDukuza,KwaDukuza,-29.3333,31.2917,South Africa,ZA,ZAF,KwaZulu-Natal,,101224.0,1710530492
Vereeniging,Vereeniging,-26.6736,27.9319,South Africa,ZA,ZAF,Gauteng,,99000.0,1710271883
Worcester,Worcester,-33.645,19.4436,South Africa,ZA,ZAF,Western Cape,,97098.0,1710498245
Vanderbijlpark,Vanderbijlpark,-26.6992,27.8356,South Africa,ZA,ZAF,Gauteng,,95840.0,1710733212
Grahamstown,Grahamstown,-33.2996,26.52,South Africa,ZA,ZAF,Eastern Cape,,91548.0,1710671857
Oudtshoorn,Oudtshoorn,-33.5833,22.2,South Africa,ZA,ZAF,Western Cape,,90822.0,1710502855
Midrand,Midrand,-25.9992,28.1264,South Africa,ZA,ZAF,Gauteng,,87387.0,1710101627
Middelburg,Middelburg,-25.7684,29.4783,South Africa,ZA,ZAF,Mpumalanga,,87348.0,1710495632
