city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Madrid,Madrid,40.4169,-3.7033,Spain,ES,ESP,Madrid,primary,6211000.0,1724616994
Barcelona,Barcelona,41.3828,2.1769,Spain,ES,ESP,Catalonia,admin,4800000.0,1724594040
Valencia,Valencia,39.47,-0.3764,Spain,ES,ESP,Valencia,admin,1595000.0,1724981666
Sevilla,Sevilla,37.39,-5.99,Spain,ES,ESP,Andalusia,admin,1100000.0,1724991838
Málaga,Malaga,36.7194,-4.42,Spain,ES,ESP,Andalusia,minor,967250.0,1724397372
Bilbao,Bilbao,43.2569,-2.9236,Spain,ES,ESP,Basque Country,minor,775000.0,1724331267
Zaragoza,Zaragoza,41.65,-0.8833,Spain,ES,ESP,Aragon,admin,682513.0,1724907391
Murcia,Murcia,37.9861,-1.1303,Spain,ES,ESP,Murcia,admin,672773.0,1724107739
Las Palmas,Las Palmas,28.1258,-15.4353,Spain,ES,ESP,Canary Islands,admin,635000.0,1724501748
Palma,Palma,39.5667,2.65,Spain,ES,ESP,Balearic Islands,admin,550000.0,1724728111
Santa Cruz,Santa Cruz,28.4667,-16.25,Spain,ES,ESP,Canary Islands,admin,538000.0,1724813158
Alicante,Alicante,38.3453,-0.4831,Spain,ES,ESP,Valencia,minor,349282.0,1724923163
Córdoba,Cordoba,37.8845,-4.7796,Spain,ES,ESP,Andalusia,minor,323763.0,1724706440
Valladolid,Valladolid,41.6528,-4.7236,Spain,ES,ESP,Castille-Leon,admin,297459.0,1724133771
Vigo,Vigo,42.2314,-8.7124,Spain,ES,ESP,Galicia,,293652.0,1724045676
Gijón,Gijon,43.5333,-5.7,Spain,ES,ESP,Asturias,,268313.0,1724170659
Vitoria-Gasteiz,Vitoria-Gasteiz,42.85,-2.6833,Spain,ES,ESP,Basque Country,admin,255886.0,1724975338
A Coruña,A Coruna,43.365,-8.41,Spain,ES,ESP,Galicia,minor,247604.0,1724417375
Elche,Elche,38.2669,-0.6983,Spain,ES,ESP,Valencia,,238293.0,1724611437
Granada,Granada,37.1781,-3.6008,Spain,ES,ESP,Andalusia,minor,230595.0,1724929320
Badalona,Badalona,41.4489,2.2461,Spain,ES,ESP,Catalonia,,225957.0,1724090334
Tarrasa,Tarrasa,41.57,2.013,Spain,ES,ESP,Catalonia,,225277.0,1724377964
Petrel,Petrel,38.4789,-0.7967,Spain,ES,ESP,Valencia,,218843.0,1724000064
Sabadell,Sabadell,41.5486,2.1075,Spain,ES,ESP,Catalonia,,218300.0,1724348384
Cartagena,Cartagena,37.6,-0.9833,Spain,ES,ESP,Murcia,,218050.0,1724143241
Oviedo,Oviedo,43.36,-5.845,Spain,ES,ESP,Asturias,admin,217584.0,1724090743
Jerez de la Frontera,Jerez de la Frontera,36.6817,-6.1378,Spain,ES,ESP,Andalusia,,213231.0,1724866806
Móstoles,Mostoles,40.3333,-3.8667,Spain,ES,ESP,Madrid,,209639.0,1724412875
Pamplona,Pamplona,42.8167,-1.65,Spain,ES,ESP,Navarre,admin,205762.0,1724483329
Almería,Almeria,36.8403,-2.4681,Spain,ES,ESP,Andalusia,minor,200578.0,1724745640
Alcalá de Henares,Alcala de Henares,40.4667,-3.3667,Spain,ES,ESP,Madrid,,196888.0,1724663253
Leganés,Leganes,40.3281,-3.7644,Spain,ES,ESP,Madrid,,190665.0,1724900225
Donostia,Donostia,43.3214,-1.9856,Spain,ES,ESP,Basque Country,minor,188743.0,1724910555
Fuenlabrada,Fuenlabrada,40.2833,-3.8,Spain,ES,ESP,Madrid,,188736.0,1724000348
Getafe,Getafe,40.3047,-3.7311,Spain,ES,ESP,Madrid,,185899.0,1724750196
Castellón de la Plana,Castellon de la Plana,39.9831,-0.0331,Spain,ES,ESP,Valencia,minor,176238.0,1724579885
Burgos,Burgos,42.35,-3.7067,Spain,ES,ESP,Castille-Leon,minor,174451.0,1724993285
Albacete,Albacete,38.9956,-1.8558,Spain,ES,ESP,Castille-La Mancha,minor,173206.0,1724000069
Santander,Santander,43.4628,-3.805,Spain,ES,ESP,Cantabria,admin,172726.0,1724247413
Alcorcón,Alcorcon,40.35,-3.8333,Spain,ES,ESP,Madrid,,171772.0,1724318578
Guadalajara,Guadalajara,40.6337,-3.1674,Spain,ES,ESP,Castille-La Mancha,minor,161683.0,1724317859
La Laguna,La Laguna,28.4853,-16.3167,Spain,ES,ESP,Canary Islands,,159034.0,1724625025
Marbella,Marbella,36.5167,-4.8833,Spain,ES,ESP,Andalusia,,156295.0,1724685705
Logroño,Logrono,42.465,-2.4456,Spain,ES,ESP,La Rioja,admin,150583.0,1724721513
Badajoz,Badajoz,38.8803,-6.9753,Spain,ES,ESP,Extremadura,minor,150190.0,1724759742
Salamanca,Salamanca,40.965,-5.6642,Spain,ES,ESP,Castille-Leon,minor,143954.0,1724960825
Lleida,Lleida,41.6167,0.6333,Spain,ES,ESP,Catalonia,minor,143094.0,1724114678
