city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Stockholm,Stockholm,59.3294,18.0686,Sweden,SE,SWE,Stockholm,primary,2121000.0,1752425602
Gothenburg,Gothenburg,57.7075,11.9675,Sweden,SE,SWE,Västra Götaland,admin,607882.0,1752059374
Malmö,Malmo,55.6058,13.0358,Sweden,SE,SWE,Skåne,admin,360249.0,1752705818
Uppsala,Uppsala,59.8581,17.6447,Sweden,SE,SWE,Uppsala,admin,166698.0,1752953686
Norrköping,Norrkoping,58.6,16.2,Sweden,SE,SWE,Östergötland,minor,137326.0,1752803583
Uppsala,Uppsala,59.8601,17.64,Sweden,SE,SWE,Stockholm,,133117.0,1752330831
Västerås,Vasteras,59.6161,16.5528,Sweden,SE,SWE,Västmanland,admin,128660.0,1752826955
Örebro,Orebro,59.2739,15.2075,Sweden,SE,SWE,Örebro,admin,126604.0,1752223019
Linköping,Linkoping,58.4158,15.6253,Sweden,SE,SWE,Östergötland,admin,115682.0,1752963378
Borås,Boras,57.7211,12.9403,Sweden,SE,SWE,Västra Götaland,minor,114445.0,1752555835
Helsingborg,Helsingborg,56.05,12.7167,Sweden,SE,SWE,Skåne,minor,113828.0,1752789933
Jönköping,Jonkoping,57.7828,14.1606,Sweden,SE,SWE,Jönköping,admin,112766.0,1752079041
Sundsvall,Sundsvall,62.4,17.3167,Sweden,SE,SWE,Västernorrland,minor,99825.0,1752024232
Gävle,Gavle,60.6747,17.1417,Sweden,SE,SWE,Gävleborg,admin,96969.0,1752586931
Umeå,Umea,63.825,20.2639,Sweden,SE,SWE,Västerbotten,admin,75643.0,1752273881
Skellefteå,Skelleftea,64.75,20.95,Sweden,SE,SWE,Västerbotten,minor,74402.0,1752233025
Södertälje,Sodertalje,59.1958,17.6281,Sweden,SE,SWE,Stockholm,minor,72704.0,1752403970
Halmstad,Halmstad,56.6739,12.8572,Sweden,SE,SWE,Halland,admin,71422.0,1752392511
Eskilstuna,Eskilstuna,59.3708,16.5097,Sweden,SE,SWE,Södermanland,minor,69948.0,1752784934
Karlskrona,Karlskrona,56.1608,15.5861,Sweden,SE,SWE,Blekinge,admin,66675.0,1752316086
Växjö,Vaxjo,56.8769,14.8092,Sweden,SE,SWE,Kronoberg,admin,66275.0,1752263370
Karlstad,Karlstad,59.3783,13.5042,Sweden,SE,SWE,Värmland,admin,65856.0,1752502445
Täby,Taby,59.4333,18.0833,Sweden,SE,SWE,Stockholm,minor,65364.0,1752810519
Trollhättan,Trollhattan,58.2828,12.2892,Sweden,SE,SWE,Västra Götaland,minor,59210.0,1752863731
Östersund,Ostersund,63.1792,14.6358,Sweden,SE,SWE,Jämtland,admin,49806.0,1752026711
Luleå,Lulea,65.5844,22.1539,Sweden,SE,SWE,Norrbotten,admin,49123.0,1752765449
Upplands Väsby,Upplands Vasby,59.5167,17.9167,Sweden,SE,SWE,Stockholm,minor,48907.0,1752271400
Borlänge,Borlange,60.4856,15.4364,Sweden,SE,SWE,Dalarna,minor,44898.0,1752944924
Trelleborg,Trelleborg,55.3667,13.1667,Sweden,SE,SWE,Skåne,minor,43359.0,1752823325
Ängelholm,Angelholm,56.25,12.85,Sweden,SE,SWE,Skåne,minor,42131.0,1752870016
Kalmar,Kalmar,56.6614,16.3628,Sweden,SE,SWE,Kalmar,admin,41852.0,1752640618
Lidköping,Lidkoping,58.5,13.1833,Sweden,SE,SWE,Västra Götaland,minor,40000.0,1752263259
Skövde,Skovde,58.3833,13.85,Sweden,SE,SWE,Västra Götaland,minor,39580.0,1752316649
Nyköping,Nykoping,58.7531,17.0086,Sweden,SE,SWE,Södermanland,admin,38780.0,1752377083
Strängnäs,Strangnas,59.3667,17.0333,Sweden,SE,SWE,Södermanland,minor,38526.0,1752111370
Alingsås,Alingsas,57.93,12.5331,Sweden,SE,SWE,Västra Götaland,minor,38509.0,1752378437
Tumba,Tumba,59.2,17.8167,Sweden,SE,SWE,Stockholm,minor,37852.0,1752693397
Falun,Falun,60.6072,15.6311,Sweden,SE,SWE,Dalarna,admin,37291.0,1752939220
Mölndal,Molndal,57.65,12.0167,Sweden,SE,SWE,Västra Götaland,minor,37233.0,1752307790
Västervik,Vastervik,57.75,16.6333,Sweden,SE,SWE,Kalmar,minor,36747.0,1752051923
Varberg,Varberg,57.1167,12.2167,Sweden,SE,SWE,Halland,minor,35782.0,1752538180
Uddevalla,Uddevalla,58.3492,11.9381,Sweden,SE,SWE,Västra Götaland,minor,34781.0,1752935117
Landskrona,Landskrona,55.8706,12.8311,Sweden,SE,SWE,Skåne,minor,33372.0,1752529229
Örnsköldsvik,Ornskoldsvik,63.2908,18.7156,Sweden,SE,SWE,Västernorrland,minor,32953.0,1752250773
Kävlinge,Kavlinge,55.7939,13.1133,Sweden,SE,SWE,Skåne,minor,32341.0,1752983535
Kristianstad,Kristianstad,56.0337,14.1333,Sweden,SE,SWE,Skåne,minor,32188.0,1752606470
Staffanstorp,Staffanstorp,55.6333,13.2,Sweden,SE,SWE,Skåne,minor,31718.0,1752021671
Lidingö,Lidingo,59.3667,18.15,Sweden,SE,SWE,Stockholm,minor,31561.0,1752051674
Motala,Motala,58.5333,15.0333,Sweden,SE,SWE,Östergötland,minor,29823.0,1752105097
Vallentuna,Vallentuna,59.5333,18.0833,Sweden,SE,SWE,Stockholm,minor,29519.0,1752629377
