city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Taichung,Taichung,24.1439,120.6794,Taiwan,TW,TWN,Taichung,admin,3033885.0,1158689622
Kaohsiung,Kaohsiung,22.615,120.2975,Taiwan,TW,TWN,Kaohsiung,admin,2733964.0,1158331334
Taipei,Taipei,25.0375,121.5625,Taiwan,TW,TWN,Taipei,primary,2603150.0,1158881289
Tainan,Tainan,22.9833,120.1833,Taiwan,TW,TWN,Tainan,admin,1874686.0,1158061376
Zhongli,Zhongli,24.965,121.2168,Taiwan,TW,TWN,Taoyuan,,1632616.0,1158025380
Hsinchu,Hsinchu,24.8167,120.9833,Taiwan,TW,TWN,Hsinchu,admin,499348.0,1158276420
Taoyuan District,Taoyuan District,24.9913,121.3143,Taiwan,TW,TWN,Taoyuan,admin,443273.0,1158127875
Keelung,Keelung,25.1333,121.7333,Taiwan,TW,TWN,Keelung,admin,367107.0,1158820647
Chiayi,Chiayi,23.48,120.4497,Taiwan,TW,TWN,Chiayi,admin,251938.0,1158867217
Changhua,Changhua,24.0667,120.5333,Taiwan,TW,TWN,Changhua,admin,226518.0,1158439005
Zhubei,Zhubei,24.8333,121.0119,Taiwan,TW,TWN,Hsinchu,admin,212695.0,1158417233
Pingzhen,Pingzhen,24.9439,121.2161,Taiwan,TW,TWN,Taoyuan,,201632.0,1158047789
Pingtung,Pingtung,22.6761,120.4942,Taiwan,TW,TWN,Pingtung,admin,194123.0,1158209038
Yangmei,Yangmei,24.9167,121.15,Taiwan,TW,TWN,Taoyuan,,175000.0,1158247880
Bade,Bade,24.9575,121.2989,Taiwan,TW,TWN,Taoyuan,,172065.0,1158126203
Yilan,Yilan,24.75,121.75,Taiwan,TW,TWN,Yilan,admin,150000.0,1158534780
Yuanlin,Yuanlin,23.9611,120.5736,Taiwan,TW,TWN,Changhua,,122763.0,1158630209
Taitung,Taitung,22.7583,121.1444,Taiwan,TW,TWN,Taitung,admin,108905.0,1158804050
Douliu,Douliu,23.7075,120.5439,Taiwan,TW,TWN,Yunlin,admin,107924.0,1158732750
Toufen,Toufen,24.6832,120.9072,Taiwan,TW,TWN,Miaoli,,106310.0,1158996229
Nantou,Nantou,23.9167,120.6833,Taiwan,TW,TWN,Nantou,admin,101606.0,1158112865
Hualien,Hualien,23.9722,121.6064,Taiwan,TW,TWN,Hualien,admin,99458.0,1158174293
Caotun,Caotun,23.983,120.7326,Taiwan,TW,TWN,Nantou,,96838.0,1158910060
Zhudong,Zhudong,24.7366,121.0916,Taiwan,TW,TWN,Hsinchu,,96518.0,1158713693
Miaoli,Miaoli,24.57,120.82,Taiwan,TW,TWN,Miaoli,admin,90963.0,1158446494
Zhunan,Zhunan,24.6833,120.8833,Taiwan,TW,TWN,Miaoli,,89420.0,1158606269
Hemei,Hemei,24.1167,120.5,Taiwan,TW,TWN,Changhua,,88740.0,1158367413
Lugang,Lugang,24.05,120.4333,Taiwan,TW,TWN,Changhua,,85423.0,1158025426
Ji’an,Ji'an,23.95,121.5722,Taiwan,TW,TWN,Hualien,,82840.0,1158376537
Hukou,Hukou,24.9,121.05,Taiwan,TW,TWN,Hsinchu,,81550.0,1158167962
Puli,Puli,23.9667,120.9667,Taiwan,TW,TWN,Nantou,,77299.0,1158109634
Minxiong,Minxiong,23.5504,120.4457,Taiwan,TW,TWN,Chiayi,,70316.0,1158122397
Huwei,Huwei,23.72,120.4354,Taiwan,TW,TWN,Yunlin,,70300.0,1158896051
Luodong,Luodong,24.6767,121.7669,Taiwan,TW,TWN,Yilan,,70002.0,1158251407
Magong,Magong,23.5667,119.5833,Taiwan,TW,TWN,Penghu,admin,63745.0,1158297836
Xinfeng,Xinfeng,24.9167,121.0,Taiwan,TW,TWN,Hsinchu,,58614.0,1158988377
Zhushan,Zhushan,23.6889,120.7289,Taiwan,TW,TWN,Nantou,,54870.0,1158343390
Xihu,Xihu,23.9594,120.48,Taiwan,TW,TWN,Changhua,,54033.0,1158658057
Chaozhou,Chaozhou,22.55,120.5333,Taiwan,TW,TWN,Pingtung,,53285.0,1158670506
Dongshan,Dongshan,24.6319,121.7539,Taiwan,TW,TWN,Yilan,,53235.0,1158216051
Neibu,Neibu,22.65,120.5875,Taiwan,TW,TWN,Pingtung,,52528.0,1158113958
Wandan,Wandan,22.5897,120.4851,Taiwan,TW,TWN,Pingtung,,49328.0,1158350878
Mailiao,Mailiao,23.75,120.25,Taiwan,TW,TWN,Yunlin,,49298.0,1158170590
Erlin,Erlin,23.9229,120.4091,Taiwan,TW,TWN,Changhua,,48379.0,1158369594
Shuishang,Shuishang,23.4319,120.4147,Taiwan,TW,TWN,Chiayi,,48164.0,1158996361
Donggang,Donggang,22.4667,120.4544,Taiwan,TW,TWN,Pingtung,,45915.0,1158526053
Fuxing,Fuxing,24.0341,120.4235,Taiwan,TW,TWN,Changhua,,45388.0,1158324066
Xiluo,Xiluo,23.7827,120.4551,Taiwan,TW,TWN,Yunlin,,44610.0,1158315546
Huatan,Huatan,24.0316,120.5579,Taiwan,TW,TWN,Changhua,,44245.0,1158596327
Yuanli,Yuanli,24.4168,120.683,Taiwan,TW,TWN,Miaoli,,43923.0,1158991714
Dounan,Dounan,23.6833,120.4833,Taiwan,TW,TWN,Yunlin,,43360.0,1158926049
Zhongbu,Zhongbu,23.4082,120.5343,Taiwan,TW,TWN,Chiayi,,43275.0,1158600763
Jincheng,Jincheng,24.4167,118.3167,Taiwan,TW,TWN,Kinmen,admin,42675.0,1158376441
Shetou,Shetou,23.9076,120.5992,Taiwan,TW,TWN,Changhua,,41571.0,1158243856
Pozi,Pozi,23.4611,120.242,Taiwan,TW,TWN,Chiayi,,41043.0,1158227287
Beigang,Beigang,23.5667,120.3,Taiwan,TW,TWN,Yunlin,,40988.0,1158593332
Wujie,Wujie,24.7,121.7833,Taiwan,TW,TWN,Yilan,,40984.0,1158382320
Dacun,Dacun,23.9911,120.5394,Taiwan,TW,TWN,Changhua,,40459.0,1158383737
Tianzhong,Tianzhong,23.8595,120.5878,Taiwan,TW,TWN,Changhua,,39701.0,1158841017
Taibao,Taibao,23.45,120.3333,Taiwan,TW,TWN,Chiayi,admin,38696.0,1158657404
Xiushui,Xiushui,24.0356,120.5037,Taiwan,TW,TWN,Changhua,,38248.0,1158521382
Shengang,Shengang,24.1648,120.4886,Taiwan,TW,TWN,Changhua,,38088.0,1158213803
Su’ao,Su'ao,24.5961,121.8511,Taiwan,TW,TWN,Yilan,,37602.0,1158318130
Mingjian,Mingjian,23.851,120.6775,Taiwan,TW,TWN,Nantou,,36127.0,1158386968
Yongjing,Yongjing,23.9223,120.5356,Taiwan,TW,TWN,Changhua,,35365.0,1158242366
Jiaoxi,Jiaoxi,24.8167,121.7667,Taiwan,TW,TWN,Yilan,,34932.0,1158494243
Houlong,Houlong,24.6167,120.7833,Taiwan,TW,TWN,Miaoli,,34355.0,1158090050
Zhuqi,Zhuqi,23.5065,120.6021,Taiwan,TW,TWN,Chiayi,,33906.0,1158917918
Buxin,Buxin,23.9523,120.5349,Taiwan,TW,TWN,Changhua,,33816.0,1158336542
Beidou,Beidou,23.8747,120.5248,Taiwan,TW,TWN,Changhua,,33289.0,1158581171
Xinbu,Xinbu,24.8478,121.0956,Taiwan,TW,TWN,Hsinchu,,33002.0,1158924907
