city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dar es Salaam,Dar es Salaam,-6.8161,39.2803,Tanzania,TZ,TZA,Dar es Salaam,admin,7962000.0,1834843853
Mwanza,Mwanza,-2.5167,32.9,Tanzania,TZ,TZA,Mwanza,admin,1104521.0,1834011288
Ubungo,Ubungo,-6.7889,39.2056,Tanzania,TZ,TZA,Dar es Salaam,,1086912.0,1834358621
Mbeya,Mbeya,-8.9,33.45,Tanzania,TZ,TZA,Mbeya,admin,541603.0,1834396594
Arusha,Arusha,-3.3667,36.6833,Tanzania,TZ,TZA,Arusha,admin,416442.0,1834484937
Uvinza,Uvinza,-5.1069,30.3839,Tanzania,TZ,TZA,Kigoma,,387442.0,1834561245
Geita,Geita,-2.8714,32.2294,Tanzania,TZ,TZA,Geita,admin,318006.0,1834469543
Sumbawanga,Sumbawanga,-7.9667,31.6167,Tanzania,TZ,TZA,Rukwa,admin,303986.0,1834684278
Kibaha,Kibaha,-6.7667,38.9167,Tanzania,TZ,TZA,Coast,admin,265360.0,1834065400
Bariadi,Bariadi,-2.7919,33.9894,Tanzania,TZ,TZA,Simiyu,admin,260927.0,1834546025
Kahama,Kahama,-3.8375,32.6,Tanzania,TZ,TZA,Shinyanga,,242208.0,1834043034
Kasulu,Kasulu,-4.58,30.1,Tanzania,TZ,TZA,Kigoma,,238321.0,1834918111
Tabora,Tabora,-5.0167,32.8,Tanzania,TZ,TZA,Tabora,admin,221466.0,1834712235
Zanzibar,Zanzibar,-6.165,39.199,Tanzania,TZ,TZA,Zanzibar Urban/West,admin,219007.0,1834823848
Morogoro,Morogoro,-6.8242,37.6633,Tanzania,TZ,TZA,Morogoro,admin,207000.0,1834185429
Ifakara,Ifakara,-8.1,36.6833,Tanzania,TZ,TZA,Morogoro,,205843.0,1834456222
Mpanda,Mpanda,-6.35,31.0667,Tanzania,TZ,TZA,Katavi,admin,204338.0,1834127573
Iringa,Iringa,-7.77,35.69,Tanzania,TZ,TZA,Iringa,admin,202490.0,1834453478
Singida,Singida,-4.8167,34.75,Tanzania,TZ,TZA,Singida,admin,165492.0,1834418526
Bukoba,Bukoba,-1.3333,31.8167,Tanzania,TZ,TZA,Kagera,admin,144938.0,1834433264
Moshi,Moshi,-3.3349,37.3404,Tanzania,TZ,TZA,Kilimanjaro,admin,144739.0,1834217168
Kigoma,Kigoma,-4.8833,29.6333,Tanzania,TZ,TZA,Kigoma,admin,135234.0,1834583327
Tarime,Tarime,-1.35,34.3833,Tanzania,TZ,TZA,Mara,,133043.0,1834684619
Nzega,Nzega,-4.2169,33.1864,Tanzania,TZ,TZA,Tabora,,125193.0,1834034762
Handeni,Handeni,-5.4242,38.0194,Tanzania,TZ,TZA,Tanga,,108968.0,1834479617
Shinyanga,Shinyanga,-3.6619,33.4231,Tanzania,TZ,TZA,Shinyanga,admin,107362.0,1834972707
Musoma,Musoma,-1.5,33.8,Tanzania,TZ,TZA,Mara,admin,103497.0,1834100025
Tanga,Tanga,-5.0742,39.0992,Tanzania,TZ,TZA,Tanga,admin,103399.0,1834004568
Songea,Songea,-10.6833,35.65,Tanzania,TZ,TZA,Ruvuma,admin,99961.0,1834461509
Mtwara,Mtwara,-10.2736,40.1828,Tanzania,TZ,TZA,Mtwara,admin,92602.0,1834044142
Tukuyu,Tukuyu,-9.25,33.65,Tanzania,TZ,TZA,Mbeya,,50000.0,1834960117
Chake Chake,Chake Chake,-5.2395,39.77,Tanzania,TZ,TZA,Pemba South,admin,49959.0,1834409018
Tunduru,Tunduru,-11.0667,37.35,Tanzania,TZ,TZA,Ruvuma,,48000.0,1834030694
Dodoma,Dodoma,-6.1731,35.7419,Tanzania,TZ,TZA,Dodoma,primary,45807.0,1834288497
Mbulu,Mbulu,-3.85,35.55,Tanzania,TZ,TZA,Manyara,,45384.0,1834497748
Korogwe,Korogwe,-5.1558,38.4503,Tanzania,TZ,TZA,Tanga,,44000.0,1834605335
Kilosa,Kilosa,-6.83,36.9875,Tanzania,TZ,TZA,Morogoro,,43418.0,1834242035
Lindi,Lindi,-9.9969,39.7144,Tanzania,TZ,TZA,Lindi,admin,41549.0,1834550750
Njombe,Njombe,-9.3333,34.7667,Tanzania,TZ,TZA,Njombe,admin,40607.0,1834328362
Tunduma,Tunduma,-9.3,32.7667,Tanzania,TZ,TZA,Mbeya,,36556.0,1834094894
Masasi,Masasi,-10.7296,38.7999,Tanzania,TZ,TZA,Mtwara,,36032.0,1834414126
Mugumu,Mugumu,-1.8333,34.6667,Tanzania,TZ,TZA,Mara,,36000.0,1834097845
