city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bangkok,Bangkok,13.7525,100.4942,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,18007000.0,1764068610
Chiang Mai,Chiang Mai,18.7953,98.9986,Thailand,TH,THA,Chiang Mai,admin,1198000.0,1764662886
Nakhon Ratchasima,Nakhon Ratchasima,14.975,102.1,Thailand,TH,THA,Nakhon Ratchasima,admin,466098.0,1764752197
Khon Kaen,Khon Kaen,16.4333,102.8333,Thailand,TH,THA,Khon Kaen,admin,412758.0,1764003406
Hat Yai,Hat Yai,7.0167,100.4667,Thailand,TH,THA,Songkhla,minor,404044.0,1764161022
Chon Buri,Chon Buri,13.3611,100.985,Thailand,TH,THA,Chon Buri,admin,342959.0,1764202077
Phatthaya,Phatthaya,12.9357,100.889,Thailand,TH,THA,Chon Buri,,328961.0,1764492695
Si Racha,Si Racha,13.174,100.93,Thailand,TH,THA,Chon Buri,minor,327172.0,1764003327
Nonthaburi,Nonthaburi,13.8667,100.5167,Thailand,TH,THA,Nonthaburi,admin,255671.0,1764667935
Pak Kret,Pak Kret,13.9125,100.4978,Thailand,TH,THA,Nonthaburi,minor,184501.0,1764165203
Surat Thani,Surat Thani,9.1397,99.3306,Thailand,TH,THA,Surat Thani,admin,130703.0,1764338230
Udon Thani,Udon Thani,17.4167,102.75,Thailand,TH,THA,Udon Thani,admin,130274.0,1764676047
Ban Bang Pu Mai,Ban Bang Pu Mai,13.5441,100.6175,Thailand,TH,THA,Samut Prakan,,120058.0,1764009212
Nakhon Si Thammarat,Nakhon Si Thammarat,8.4364,99.9631,Thailand,TH,THA,Nakhon Si Thammarat,admin,106322.0,1764409111
Ban Mangkon,Ban Mangkon,13.6138,100.6104,Thailand,TH,THA,Samut Prakan,,102291.0,1764800579
Ban Laem Chabang,Ban Laem Chabang,13.0833,100.8833,Thailand,TH,THA,Chon Buri,,88271.0,1764108164
Nakhon Sawan,Nakhon Sawan,15.7133,100.1353,Thailand,TH,THA,Nakhon Sawan,admin,86439.0,1764821078
Ban Talat Rangsit,Ban Talat Rangsit,13.9833,100.6167,Thailand,TH,THA,Pathum Thani,,79319.0,1764039814
Ban Nong Prue,Ban Nong Prue,12.9228,100.9375,Thailand,TH,THA,Chon Buri,,79258.0,1764743967
Ubon Ratchathani,Ubon Ratchathani,15.2281,104.8594,Thailand,TH,THA,Ubon Ratchathani,admin,79023.0,1764611048
Nakhon Pathom,Nakhon Pathom,13.8206,100.0625,Thailand,TH,THA,Nakhon Pathom,admin,78780.0,1764251992
Phuket,Phuket,7.8881,98.3975,Thailand,TH,THA,Phuket,admin,77610.0,1764327831
Ban Tha Khlong,Ban Tha Khlong,14.0894,100.6236,Thailand,TH,THA,Pathum Thani,,77243.0,1764699235
Phitsanulok,Phitsanulok,16.8158,100.2636,Thailand,TH,THA,Phitsanulok,admin,70871.0,1764140981
Chiang Rai,Chiang Rai,19.9094,99.8275,Thailand,TH,THA,Chiang Rai,admin,70610.0,1764748484
Ko Samui,Ko Samui,9.5,100.0,Thailand,TH,THA,Surat Thani,minor,68994.0,1764771934
Ban Suan,Ban Suan,13.3616,100.9795,Thailand,TH,THA,Chon Buri,,66092.0,1764305340
Songkhla,Songkhla,7.2061,100.5967,Thailand,TH,THA,Songkhla,admin,63834.0,1764543650
