city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Dili,Dili,-8.5536,125.5783,Timor-Leste,TL,TLS,Díli,primary,222323.0,1626308942
Maliana,Maliana,-8.9917,125.2197,Timor-Leste,TL,TLS,Bobonaro,admin,15800.0,1626637884
Baucau,Baucau,-8.4667,126.45,Timor-Leste,TL,TLS,Baucau,admin,14961.0,1626835210
Manatuto,Manatuto,-8.5167,126.0167,Timor-Leste,TL,TLS,Manatuto,admin,9022.0,1626115337
Gleno,Gleno,-8.7239,125.4361,Timor-Leste,TL,TLS,Ermera,admin,8133.0,1626143485
Viqueque,Viqueque,-8.85,126.3667,Timor-Leste,TL,TLS,Viqueque,admin,6078.0,1626768340
Liquiçá,Liquica,-8.5935,125.3273,Timor-Leste,TL,TLS,Likisá,admin,5152.0,1626054379
Ainaro,Ainaro,-8.9833,125.5,Timor-Leste,TL,TLS,Ainaro,admin,3085.0,1626118494
Same,Same,-9.0,125.65,Timor-Leste,TL,TLS,Manufahi,admin,2100.0,1626402267
Lospalos,Lospalos,-8.5167,127.0333,Timor-Leste,TL,TLS,Lautém,admin,,1626878399
Aileu,Aileu,-8.7281,125.5664,Timor-Leste,TL,TLS,Aileu,admin,,1626766880
Pante Macassar,Pante Macassar,-9.2,124.3833,Timor-Leste,TL,TLS,Oé-Cusse Ambeno,admin,,1626175417
Suai,Suai,-9.3129,125.2565,Timor-Leste,TL,TLS,Kovalima,admin,,1626458227
Dili,Dili,-8.5536,125.5783,Timor-Leste,TL,TLS,Díli,primary,222323.0,1626308942
Maliana,Maliana,-8.9917,125.2197,Timor-Leste,TL,TLS,Bobonaro,admin,15800.0,1626637884
Baucau,Baucau,-8.4667,126.45,Timor-Leste,TL,TLS,Baucau,admin,14961.0,1626835210
Manatuto,Manatuto,-8.5167,126.0167,Timor-Leste,TL,TLS,Manatuto,admin,9022.0,1626115337
Gleno,Gleno,-8.7239,125.4361,Timor-Leste,TL,TLS,Ermera,admin,8133.0,1626143485
Viqueque,Viqueque,-8.85,126.3667,Timor-Leste,TL,TLS,Viqueque,admin,6078.0,1626768340
Liquiçá,Liquica,-8.5935,125.3273,Timor-Leste,TL,TLS,Likisá,admin,5152.0,1626054379
Ainaro,Ainaro,-8.9833,125.5,Timor-Leste,TL,TLS,Ainaro,admin,3085.0,1626118494
Same,Same,-9.0,125.65,Timor-Leste,TL,TLS,Manufahi,admin,2100.0,1626402267
Lospalos,Lospalos,-8.5167,127.0333,Timor-Leste,TL,TLS,Lautém,admin,,1626878399
Aileu,Aileu,-8.7281,125.5664,Timor-Leste,TL,TLS,Aileu,admin,,1626766880
Pante Macassar,Pante Macassar,-9.2,124.3833,Timor-Leste,TL,TLS,Oé-Cusse Ambeno,admin,,1626175417
Suai,Suai,-9.3129,125.2565,Timor-Leste,TL,TLS,Kovalima,admin,,1626458227
