city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sokodé,Sokode,8.9833,1.1333,Togo,TG,TGO,Centrale,admin,113000.0,1768875145
Kpalimé,Kpalime,6.9,0.6333,Togo,TG,TGO,Plateaux,,87478.0,1768253626
Atakpamé,Atakpame,7.5269,1.1267,Togo,TG,TGO,Plateaux,admin,84979.0,1768070717
Dapaong,Dapaong,10.8667,0.2,Togo,TG,TGO,Savanes,admin,58071.0,1768366976
Tsévié,Tsevie,6.4333,1.2167,Togo,TG,TGO,Maritime,,55775.0,1768281903
Notsé,Notse,6.9483,1.1681,Togo,TG,TGO,Plateaux,,49143.0,1768108332
Tabligbo,Tabligbo,6.5833,1.5,Togo,TG,TGO,Maritime,,36961.0,1768943625
Sansanné-Mango,Sansanne-Mango,10.3556,0.4756,Togo,TG,TGO,Savanes,,34791.0,1768815814
Lomé,Lome,6.1319,1.2228,Togo,TG,TGO,Maritime,primary,33000.0,1768409132
Sotouboua,Sotouboua,8.5667,0.9833,Togo,TG,TGO,Centrale,,32464.0,1768355631
Aného,Aneho,6.2333,1.6,Togo,TG,TGO,Maritime,,28238.0,1768922287
Bafilo,Bafilo,9.35,1.2667,Togo,TG,TGO,Kara,,23627.0,1768588000
Bassar,Bassar,9.25,0.7833,Togo,TG,TGO,Kara,,23181.0,1768050143
Niamtougou,Niamtougou,9.7667,1.1,Togo,TG,TGO,Kara,,22986.0,1768703422
Afanyangan,Afanyangan,6.4939,1.6339,Togo,TG,TGO,Maritime,,13046.0,1768926605
Kévé,Keve,6.4278,0.9245,Togo,TG,TGO,Maritime,,12000.0,1768316152
Badou,Badou,7.5833,0.6,Togo,TG,TGO,Plateaux,,11503.0,1768728398
Blitta,Blitta,8.3167,0.9833,Togo,TG,TGO,Centrale,,10915.0,1768095993
Sirka,Sirka,9.5719,1.3183,Togo,TG,TGO,Kara,,9700.0,1768994330
Kara,Kara,9.5511,1.1861,Togo,TG,TGO,Kara,admin,,1768768827
Sokodé,Sokode,8.9833,1.1333,Togo,TG,TGO,Centrale,admin,113000.0,1768875145
Kpalimé,Kpalime,6.9,0.6333,Togo,TG,TGO,Plateaux,,87478.0,1768253626
Atakpamé,Atakpame,7.5269,1.1267,Togo,TG,TGO,Plateaux,admin,84979.0,1768070717
Dapaong,Dapaong,10.8667,0.2,Togo,TG,TGO,Savanes,admin,58071.0,1768366976
Tsévié,Tsevie,6.4333,1.2167,Togo,TG,TGO,Maritime,,55775.0,1768281903
Notsé,Notse,6.9483,1.1681,Togo,TG,TGO,Plateaux,,49143.0,1768108332
Tabligbo,Tabligbo,6.5833,1.5,Togo,TG,TGO,Maritime,,36961.0,1768943625
Sansanné-Mango,Sansanne-Mango,10.3556,0.4756,Togo,TG,TGO,Savanes,,34791.0,1768815814
Lomé,Lome,6.1319,1.2228,Togo,TG,TGO,Maritime,primary,33000.0,1768409132
Sotouboua,Sotouboua,8.5667,0.9833,Togo,TG,TGO,Centrale,,32464.0,1768355631
Aného,Aneho,6.2333,1.6,Togo,TG,TGO,Maritime,,28238.0,1768922287
Bafilo,Bafilo,9.35,1.2667,Togo,TG,TGO,Kara,,23627.0,1768588000
Bassar,Bassar,9.25,0.7833,Togo,TG,TGO,Kara,,23181.0,1768050143
Niamtougou,Niamtougou,9.7667,1.1,Togo,TG,TGO,Kara,,22986.0,1768703422
Afanyangan,Afanyangan,6.4939,1.6339,Togo,TG,TGO,Maritime,,13046.0,1768926605
Kévé,Keve,6.4278,0.9245,Togo,TG,TGO,Maritime,,12000.0,1768316152
Badou,Badou,7.5833,0.6,Togo,TG,TGO,Plateaux,,11503.0,1768728398
Blitta,Blitta,8.3167,0.9833,Togo,TG,TGO,Centrale,,10915.0,1768095993
Sirka,Sirka,9.5719,1.3183,Togo,TG,TGO,Kara,,9700.0,1768994330
Kara,Kara,9.5511,1.1861,Togo,TG,TGO,Kara,admin,,1768768827
