city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tunis,Tunis,36.8064,10.1817,Tunisia,TN,TUN,Tunis,primary,602560.0,1788742103
Sidi Bouzid,Sidi Bouzid,35.0381,9.4858,Tunisia,TN,TUN,Sidi Bouzid,admin,429912.0,1788196439
Sfax,Sfax,34.74,10.76,Tunisia,TN,TUN,Sfax,admin,265131.0,1788741658
Sousse,Sousse,35.8333,10.6333,Tunisia,TN,TUN,Sousse,admin,221530.0,1788927583
Kairouan,Kairouan,35.6772,10.1008,Tunisia,TN,TUN,Kairouan,admin,186653.0,1788844707
Métouia,Metouia,33.9667,10.0,Tunisia,TN,TUN,Gabès,,170000.0,1788442482
Kebili,Kebili,33.705,8.965,Tunisia,TN,TUN,Kébili,admin,163257.0,1788285135
Sukrah,Sukrah,36.8833,10.25,Tunisia,TN,TUN,L’Ariana,,129693.0,1788614141
Gabès,Gabes,33.8833,10.1167,Tunisia,TN,TUN,Gabès,admin,116323.0,1788064276
Ariana,Ariana,36.8625,10.1956,Tunisia,TN,TUN,L’Ariana,admin,114486.0,1788682546
Sakiet ed Daier,Sakiet ed Daier,34.8,10.78,Tunisia,TN,TUN,Sfax,,113776.0,1788449518
Gafsa,Gafsa,34.4225,8.7842,Tunisia,TN,TUN,Gafsa,admin,111170.0,1788454569
Msaken,Msaken,35.7333,10.5833,Tunisia,TN,TUN,Sousse,,110000.0,1788688595
Medenine,Medenine,33.3547,10.5053,Tunisia,TN,TUN,Médenine,admin,109409.0,1788240639
Béja,Beja,36.7333,9.1833,Tunisia,TN,TUN,Béja,admin,109299.0,1788225711
Kasserine,Kasserine,35.1667,8.8333,Tunisia,TN,TUN,Kasserine,admin,108794.0,1788047794
Radès,Rades,36.7667,10.2833,Tunisia,TN,TUN,Ben Arous,,97588.0,1788930929
Hammamet,Hammamet,36.4,10.6167,Tunisia,TN,TUN,Nabeul,,97579.0,1788426798
Tataouine,Tataouine,32.9306,10.45,Tunisia,TN,TUN,Tataouine,admin,95775.0,1788300169
Monastir,Monastir,35.7694,10.8194,Tunisia,TN,TUN,Monastir,admin,93306.0,1788553334
La Marsa,La Marsa,36.8764,10.3253,Tunisia,TN,TUN,Tunis,,92987.0,1788911754
Ben Arous,Ben Arous,36.7472,10.3333,Tunisia,TN,TUN,Ben Arous,admin,88322.0,1788439087
Sakiet ez Zit,Sakiet ez Zit,34.8,10.77,Tunisia,TN,TUN,Sfax,,87512.0,1788542455
Zarzis,Zarzis,33.5,11.1167,Tunisia,TN,TUN,Médenine,,80000.0,1788933524
Ben Gardane,Ben Gardane,33.1389,11.2167,Tunisia,TN,TUN,Médenine,,79912.0,1788380441
