city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ashgabat,Ashgabat,37.9375,58.38,Turkmenistan,TM,TKM,Aşgabat,primary,1030063.0,1795049992
Türkmenabat,Turkmenabat,39.0833,63.5667,Turkmenistan,TM,TKM,Lebap,admin,256000.0,1795079064
Daşoguz,Dasoguz,41.8333,59.9667,Turkmenistan,TM,TKM,Daşoguz,admin,227184.0,1795167397
Balkanabat,Balkanabat,39.5167,54.3667,Turkmenistan,TM,TKM,Balkan,admin,139000.0,1795885709
Mary,Mary,37.6,61.8333,Turkmenistan,TM,TKM,Mary,admin,126141.0,1795413265
Koytendag,Koytendag,37.5,66.0,Turkmenistan,TM,TKM,Lebap,,98477.0,1795859391
Serdar,Serdar,38.9833,56.2833,Turkmenistan,TM,TKM,Balkan,,89582.0,1795429041
Bayramaly,Bayramaly,37.6167,62.15,Turkmenistan,TM,TKM,Mary,,88486.0,1795017692
Türkmenbaşy,Turkmenbasy,40.0167,52.9667,Turkmenistan,TM,TKM,Balkan,,73000.0,1795987646
Tejen,Tejen,37.3833,60.5,Turkmenistan,TM,TKM,Ahal,,52000.0,1795500486
Abadan,Abadan,38.0517,58.21,Turkmenistan,TM,TKM,Ahal,,40813.0,1795394170
Kaka,Kaka,37.35,59.6,Turkmenistan,TM,TKM,Ahal,,38381.0,1795223342
Atamyrat,Atamyrat,37.8531,65.2369,Turkmenistan,TM,TKM,Lebap,,38350.0,1795595010
Yolöten,Yoloten,37.3,62.35,Turkmenistan,TM,TKM,Mary,,37705.0,1795448254
Köneürgench,Koneurgench,42.3333,59.15,Turkmenistan,TM,TKM,Daşoguz,,36754.0,1795588005
Gumdag,Gumdag,39.2061,54.5906,Turkmenistan,TM,TKM,Balkan,,33000.0,1795425588
Gyzylgaya,Gyzylgaya,40.6219,55.4656,Turkmenistan,TM,TKM,Balkan,,33000.0,1795017897
Änew,Anew,37.8833,58.5333,Turkmenistan,TM,TKM,Ahal,admin,30000.0,1795817680
Hazar,Hazar,39.445,53.115,Turkmenistan,TM,TKM,Balkan,,28095.0,1795996343
Bereket,Bereket,39.2431,55.5169,Turkmenistan,TM,TKM,Balkan,,24500.0,1795808351
Gazojak,Gazojak,41.1833,61.4,Turkmenistan,TM,TKM,Lebap,,24251.0,1795672645
Baharly,Baharly,38.4303,57.4369,Turkmenistan,TM,TKM,Ahal,,24139.0,1795475430
Hojambaz,Hojambaz,38.1167,65.0,Turkmenistan,TM,TKM,Lebap,,21465.0,1795181508
Gökdepe,Gokdepe,38.1578,57.9664,Turkmenistan,TM,TKM,Ahal,,21465.0,1795372627
Seydi,Seydi,39.4167,62.9,Turkmenistan,TM,TKM,Lebap,,20491.0,1795186775
Akdepe,Akdepe,42.05,59.4,Turkmenistan,TM,TKM,Daşoguz,,15580.0,1795536165
Serhetabat,Serhetabat,35.2833,62.35,Turkmenistan,TM,TKM,Mary,,14940.0,1795236805
Farap,Farap,39.1667,63.6,Turkmenistan,TM,TKM,Lebap,,14503.0,1795918715
Murgap,Murgap,37.4964,61.9739,Turkmenistan,TM,TKM,Mary,,10000.0,1795747825
Sarahs,Sarahs,36.5333,61.2167,Turkmenistan,TM,TKM,Ahal,,9585.0,1795405865
Çeleken,Celeken,39.4362,53.1226,Turkmenistan,TM,TKM,Balkan,,1206.0,1795554809
Ashgabat,Ashgabat,37.9375,58.38,Turkmenistan,TM,TKM,Aşgabat,primary,1030063.0,1795049992
Türkmenabat,Turkmenabat,39.0833,63.5667,Turkmenistan,TM,TKM,Lebap,admin,256000.0,1795079064
Daşoguz,Dasoguz,41.8333,59.9667,Turkmenistan,TM,TKM,Daşoguz,admin,227184.0,1795167397
Balkanabat,Balkanabat,39.5167,54.3667,Turkmenistan,TM,TKM,Balkan,admin,139000.0,1795885709
Mary,Mary,37.6,61.8333,Turkmenistan,TM,TKM,Mary,admin,126141.0,1795413265
Koytendag,Koytendag,37.5,66.0,Turkmenistan,TM,TKM,Lebap,,98477.0,1795859391
Serdar,Serdar,38.9833,56.2833,Turkmenistan,TM,TKM,Balkan,,89582.0,1795429041
Bayramaly,Bayramaly,37.6167,62.15,Turkmenistan,TM,TKM,Mary,,88486.0,1795017692
Türkmenbaşy,Turkmenbasy,40.0167,52.9667,Turkmenistan,TM,TKM,Balkan,,73000.0,1795987646
Tejen,Tejen,37.3833,60.5,Turkmenistan,TM,TKM,Ahal,,52000.0,1795500486
Abadan,Abadan,38.0517,58.21,Turkmenistan,TM,TKM,Ahal,,40813.0,1795394170
Kaka,Kaka,37.35,59.6,Turkmenistan,TM,TKM,Ahal,,38381.0,1795223342
Atamyrat,Atamyrat,37.8531,65.2369,Turkmenistan,TM,TKM,Lebap,,38350.0,1795595010
Yolöten,Yoloten,37.3,62.35,Turkmenistan,TM,TKM,Mary,,37705.0,1795448254
Köneürgench,Koneurgench,42.3333,59.15,Turkmenistan,TM,TKM,Daşoguz,,36754.0,1795588005
Gumdag,Gumdag,39.2061,54.5906,Turkmenistan,TM,TKM,Balkan,,33000.0,1795425588
Gyzylgaya,Gyzylgaya,40.6219,55.4656,Turkmenistan,TM,TKM,Balkan,,33000.0,1795017897
Änew,Anew,37.8833,58.5333,Turkmenistan,TM,TKM,Ahal,admin,30000.0,1795817680
Hazar,Hazar,39.445,53.115,Turkmenistan,TM,TKM,Balkan,,28095.0,1795996343
Bereket,Bereket,39.2431,55.5169,Turkmenistan,TM,TKM,Balkan,,24500.0,1795808351
Gazojak,Gazojak,41.1833,61.4,Turkmenistan,TM,TKM,Lebap,,24251.0,1795672645
Baharly,Baharly,38.4303,57.4369,Turkmenistan,TM,TKM,Ahal,,24139.0,1795475430
Hojambaz,Hojambaz,38.1167,65.0,Turkmenistan,TM,TKM,Lebap,,21465.0,1795181508
Gökdepe,Gokdepe,38.1578,57.9664,Turkmenistan,TM,TKM,Ahal,,21465.0,1795372627
Seydi,Seydi,39.4167,62.9,Turkmenistan,TM,TKM,Lebap,,20491.0,1795186775
Akdepe,Akdepe,42.05,59.4,Turkmenistan,TM,TKM,Daşoguz,,15580.0,1795536165
Serhetabat,Serhetabat,35.2833,62.35,Turkmenistan,TM,TKM,Mary,,14940.0,1795236805
Farap,Farap,39.1667,63.6,Turkmenistan,TM,TKM,Lebap,,14503.0,1795918715
Murgap,Murgap,37.4964,61.9739,Turkmenistan,TM,TKM,Mary,,10000.0,1795747825
Sarahs,Sarahs,36.5333,61.2167,Turkmenistan,TM,TKM,Ahal,,9585.0,1795405865
Çeleken,Celeken,39.4362,53.1226,Turkmenistan,TM,TKM,Balkan,,1206.0,1795554809
