city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kampala,Kampala,0.3136,32.5811,Uganda,UG,UGA,Kampala,primary,1680600.0,1800406299
Mbale,Mbale,1.0806,34.175,Uganda,UG,UGA,Mbale,admin,586300.0,1800265900
Nansana,Nansana,0.3639,32.5286,Uganda,UG,UGA,Wakiso,,532800.0,1800032516
Kasangati,Kasangati,0.4378,32.6025,Uganda,UG,UGA,Wakiso,,207800.0,1800208674
Mbarara,Mbarara,-0.6133,30.6583,Uganda,UG,UGA,Mbarara,admin,195013.0,1800554483
Njeru,Njeru,0.4311,33.1478,Uganda,UG,UGA,Buikwe,,178800.0,1800578691
Mukono,Mukono,0.3533,32.7553,Uganda,UG,UGA,Mukono,admin,161996.0,1800864322
Gulu,Gulu,2.7817,32.2992,Uganda,UG,UGA,Gulu,admin,152276.0,1800406007
Hoima,Hoima,1.4319,31.3525,Uganda,UG,UGA,Hoima,admin,122700.0,1800806239
Lira,Lira,2.2472,32.9,Uganda,UG,UGA,Lira,admin,116500.0,1800877735
Kasese,Kasese,0.1867,30.0881,Uganda,UG,UGA,Kasese,admin,115400.0,1800924936
Lugazi,Lugazi,0.3833,32.9242,Uganda,UG,UGA,Buikwe,,114163.0,1800606876
Masindi,Masindi,1.6836,31.7222,Uganda,UG,UGA,Masindi,admin,110500.0,1800409287
Mityana,Mityana,0.4006,32.0422,Uganda,UG,UGA,Mityana,admin,105200.0,1800284151
Masaka,Masaka,-0.3411,31.7361,Uganda,UG,UGA,Masaka,admin,103829.0,1800731885
Mubende,Mubende,0.5575,31.395,Uganda,UG,UGA,Mubende,admin,103473.0,1800105368
Wakiso,Wakiso,0.3981,32.4781,Uganda,UG,UGA,Wakiso,admin,87900.0,1800102352
Jinja,Jinja,0.4233,33.2039,Uganda,UG,UGA,Jinja,admin,72931.0,1800632405
Entebbe,Entebbe,0.05,32.46,Uganda,UG,UGA,Wakiso,,69958.0,1800535915
Kireka,Kireka,0.3467,32.5,Uganda,UG,UGA,Wakiso,,69000.0,1800730465
Kamuli,Kamuli,0.945,33.125,Uganda,UG,UGA,Kamuli,admin,67800.0,1800849421
Apac,Apac,1.985,32.535,Uganda,UG,UGA,Apac,admin,67700.0,1800174030
Busia,Busia,0.4669,34.09,Uganda,UG,UGA,Busia,admin,64900.0,1800460306
Arua,Arua,3.0353,30.9108,Uganda,UG,UGA,Arua,admin,61962.0,1800812511
Soroti,Soroti,1.715,33.6111,Uganda,UG,UGA,Soroti,admin,60900.0,1800434608
Fort Portal,Fort Portal,0.6544,30.2744,Uganda,UG,UGA,Kabarole,admin,60800.0,1800139086
Mpondwe,Mpondwe,0.04,29.725,Uganda,UG,UGA,Kasese,,58600.0,1800231834
Nyenga,Nyenga,0.38,33.15,Uganda,UG,UGA,Buikwe,,55600.0,1800123019
Iganga,Iganga,0.615,33.485,Uganda,UG,UGA,Iganga,admin,53870.0,1800987671
Kabale,Kabale,-1.25,29.99,Uganda,UG,UGA,Kabale,admin,53200.0,1800408751
Kyaliwajjala,Kyaliwajjala,0.38,32.6467,Uganda,UG,UGA,Wakiso,,50000.0,1800975843
Mpigi,Mpigi,0.23,32.33,Uganda,UG,UGA,Mpigi,admin,49500.0,1800370948
Luwero,Luwero,0.8331,32.4994,Uganda,UG,UGA,Luwero,admin,49100.0,1800067821
Yumbe,Yumbe,3.465,31.245,Uganda,UG,UGA,Yumbe,admin,47600.0,1800297508
Kitgum,Kitgum,3.2889,32.8778,Uganda,UG,UGA,Kitgum,admin,44604.0,1800380883
Bushenyi,Bushenyi,-0.5417,30.1878,Uganda,UG,UGA,Buhweju,admin,43700.0,1800740334
Pallisa,Pallisa,1.1675,33.71,Uganda,UG,UGA,Pallisa,admin,42300.0,1800214906
Tororo,Tororo,0.6928,34.1811,Uganda,UG,UGA,Tororo,admin,41906.0,1800214991
Nebbi,Nebbi,2.4792,31.09,Uganda,UG,UGA,Nebbi,admin,41400.0,1800598019
Ishaka,Ishaka,-0.545,30.1383,Uganda,UG,UGA,Buhweju,,41063.0,1800035927
Koboko,Koboko,3.41,30.96,Uganda,UG,UGA,Koboko,admin,37825.0,1800307801
Rukungiri,Rukungiri,-0.79,29.925,Uganda,UG,UGA,Rukungiri,admin,37200.0,1800982268
Adjumani,Adjumani,3.3772,31.7906,Uganda,UG,UGA,Adjumani,admin,37100.0,1800855823
Bugiri,Bugiri,0.5694,33.7486,Uganda,UG,UGA,Bugiri,admin,36000.0,1800917331
Isingiro,Isingiro,-0.795,30.8153,Uganda,UG,UGA,Isingiro,admin,34300.0,1800843586
Paidha,Paidha,2.4167,30.9875,Uganda,UG,UGA,Zombo,,33426.0,1800599761
Bugembe,Bugembe,0.4675,33.2414,Uganda,UG,UGA,Jinja,,33100.0,1800191347
Kakira,Kakira,0.5036,33.2825,Uganda,UG,UGA,Jinja,,32819.0,1800697790
