city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kyiv,Kyiv,50.45,30.5233,Ukraine,UA,UKR,"Kyiv, Misto",primary,2952301.0,1804382913
Kharkiv,Kharkiv,49.9925,36.2311,Ukraine,UA,UKR,Kharkivska Oblast,admin,1421125.0,1804588111
Odesa,Odesa,46.4775,30.7326,Ukraine,UA,UKR,Odeska Oblast,admin,1010537.0,1804178102
Dnipro,Dnipro,48.4675,35.04,Ukraine,UA,UKR,Dnipropetrovska Oblast,admin,968502.0,1804152933
Donetsk,Donetsk,48.0028,37.8053,Ukraine,UA,UKR,Donetska Oblast,admin,901645.0,1804963805
Lviv,Lviv,49.8425,24.0322,Ukraine,UA,UKR,Lvivska Oblast,admin,717273.0,1804939658
Zaporizhzhia,Zaporizhzhia,47.85,35.1175,Ukraine,UA,UKR,Zaporizka Oblast,admin,710052.0,1804644752
Bazal’tove,Bazal'tove,50.6765,26.16,Ukraine,UA,UKR,Rivnenska Oblast,,625543.0,1804864050
Kryvyi Rih,Kryvyi Rih,47.91,33.39,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,603904.0,1804544901
Sevastopol,Sevastopol,44.605,33.5225,Ukraine,UA,UKR,"Sevastopol, Misto",admin,485386.0,1804806030
Mykolaiv,Mykolaiv,46.975,31.995,Ukraine,UA,UKR,Mykolaivska Oblast,admin,470011.0,1804398395
Mariupol,Mariupol,47.0958,37.5494,Ukraine,UA,UKR,Donetska Oblast,minor,449498.0,1804630021
Luhansk,Luhansk,48.5678,39.3031,Ukraine,UA,UKR,Luhanska Oblast,admin,417990.0,1804688214
Vinnytsia,Vinnytsia,49.2333,28.4833,Ukraine,UA,UKR,Vinnytska Oblast,admin,369739.0,1804658571
Makiivka,Makiivka,48.0556,37.9611,Ukraine,UA,UKR,Donetska Oblast,minor,343158.0,1804926154
Simferopol,Simferopol,44.9519,34.1022,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",admin,340540.0,1804665958
Chernihiv,Chernihiv,51.4939,31.2947,Ukraine,UA,UKR,Chernihivska Oblast,admin,286899.0,1804565996
Poltava,Poltava,49.5894,34.5514,Ukraine,UA,UKR,Poltavska Oblast,admin,283402.0,1804547489
Kherson,Kherson,46.6425,32.625,Ukraine,UA,UKR,Khersonska Oblast,admin,279131.0,1804514036
Khmelnytskyi,Khmelnytskyi,49.4167,27.0,Ukraine,UA,UKR,Khmelnytska Oblast,admin,274452.0,1804347108
Cherkasy,Cherkasy,49.4444,32.0597,Ukraine,UA,UKR,Cherkaska Oblast,admin,269836.0,1804459212
Sumy,Sumy,50.9119,34.8028,Ukraine,UA,UKR,Sumska Oblast,admin,265758.0,1804489982
Chernivtsi,Chernivtsi,48.3,25.9333,Ukraine,UA,UKR,Chernivetska Oblast,admin,265471.0,1804652872
Zhytomyr,Zhytomyr,50.25,28.6667,Ukraine,UA,UKR,Zhytomyrska Oblast,admin,261624.0,1804540656
Horlivka,Horlivka,48.3,38.05,Ukraine,UA,UKR,Donetska Oblast,minor,256714.0,1804235146
Rivne,Rivne,50.6192,26.2519,Ukraine,UA,UKR,Rivnenska Oblast,admin,245289.0,1804144712
Ivano-Frankivsk,Ivano-Frankivsk,48.9228,24.7106,Ukraine,UA,UKR,Ivano-Frankivska Oblast,admin,238196.0,1804208152
Kropyvnytskyi,Kropyvnytskyi,48.5,32.2667,Ukraine,UA,UKR,Kirovohradska Oblast,admin,227413.0,1804374492
Kamianske,Kamianske,48.5167,34.6167,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,226845.0,1804033242
Ternopil,Ternopil,49.5667,25.6,Ukraine,UA,UKR,Ternopilska Oblast,admin,225238.0,1804000146
Kremenchuk,Kremenchuk,49.0631,33.4039,Ukraine,UA,UKR,Poltavska Oblast,minor,220174.0,1804343754
Lutsk,Lutsk,50.75,25.3358,Ukraine,UA,UKR,Volynska Oblast,admin,215986.0,1804014744
Bila Tserkva,Bila Tserkva,49.7989,30.1153,Ukraine,UA,UKR,Kyivska Oblast,minor,208944.0,1804758853
Sievierodonetsk,Sievierodonetsk,48.9481,38.4933,Ukraine,UA,UKR,Luhanska Oblast,minor,150000.0,1804577024
Kerch,Kerch,45.3619,36.4711,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",minor,149566.0,1804437456
Melitopol,Melitopol,46.8489,35.3675,Ukraine,UA,UKR,Zaporizka Oblast,minor,148851.0,1804906240
Kramatorsk,Kramatorsk,48.7392,37.5839,Ukraine,UA,UKR,Donetska Oblast,minor,147145.0,1804461469
Khrustalnyi,Khrustalnyi,48.1214,38.9453,Ukraine,UA,UKR,Luhanska Oblast,,124000.0,1804368412
Uzhhorod,Uzhhorod,48.6239,22.295,Ukraine,UA,UKR,Zakarpatska Oblast,admin,115449.0,1804851697
Sloviansk,Sloviansk,48.8533,37.625,Ukraine,UA,UKR,Donetska Oblast,,113196.0,1804877044
Brovary,Brovary,50.5111,30.79,Ukraine,UA,UKR,Kyivska Oblast,minor,109473.0,1804386597
Yevpatoriia,Yevpatoriia,45.1939,33.3681,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",minor,108248.0,1804279364
Berdiansk,Berdiansk,46.7556,36.7889,Ukraine,UA,UKR,Zaporizka Oblast,minor,106311.0,1804599785
Alchevsk,Alchevsk,48.4778,38.7978,Ukraine,UA,UKR,Luhanska Oblast,minor,105398.0,1804025187
Nikopol,Nikopol,47.5667,34.4,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,105160.0,1804000135
Pavlohrad,Pavlohrad,48.5167,35.8667,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,101430.0,1804162854
Kamianets-Podilskyi,Kamianets-Podilskyi,48.6833,26.5833,Ukraine,UA,UKR,Khmelnytska Oblast,minor,100462.0,1804779341
Lysychansk,Lysychansk,48.9167,38.4,Ukraine,UA,UKR,Luhanska Oblast,,96161.0,1804673535
Dovzhansk,Dovzhansk,48.0778,39.6472,Ukraine,UA,UKR,Luhanska Oblast,minor,95153.0,1804768565
Mukacheve,Mukacheve,48.45,22.75,Ukraine,UA,UKR,Zakarpatska Oblast,minor,85569.0,1804401780
Konotop,Konotop,51.2167,33.2,Ukraine,UA,UKR,Sumska Oblast,minor,84787.0,1804110853
Oleksandriia,Oleksandriia,48.6667,33.1167,Ukraine,UA,UKR,Kirovohradska Oblast,minor,82345.0,1804836321
Uman,Uman,48.75,30.2167,Ukraine,UA,UKR,Cherkaska Oblast,minor,82154.0,1804670442
Krasnyi Luch,Krasnyi Luch,48.1333,38.9333,Ukraine,UA,UKR,Luhanska Oblast,,79533.0,1804477928
Yenakiieve,Yenakiieve,48.2167,38.2,Ukraine,UA,UKR,Donetska Oblast,,79348.0,1804228533
Yalta,Yalta,44.4994,34.17,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",,79272.0,1804569428
Shostka,Shostka,51.8667,33.4833,Ukraine,UA,UKR,Sumska Oblast,minor,76788.0,1804764606
Stakhanov,Stakhanov,48.5681,38.6586,Ukraine,UA,UKR,Luhanska Oblast,,75745.0,1804324480
Drohobych,Drohobych,49.35,23.5,Ukraine,UA,UKR,Lvivska Oblast,minor,74610.0,1804782563
Berdychiv,Berdychiv,49.9,28.5667,Ukraine,UA,UKR,Zhytomyrska Oblast,minor,73046.0,1804788404
Kostiantynivka,Kostiantynivka,48.5333,37.7167,Ukraine,UA,UKR,Donetska Oblast,,72888.0,1804423855
Bakhmut,Bakhmut,48.5947,38.0008,Ukraine,UA,UKR,Donetska Oblast,minor,71094.0,1804007616
Izmail,Izmail,45.3517,28.8364,Ukraine,UA,UKR,Odeska Oblast,minor,70731.0,1804652754
Novomoskovsk,Novomoskovsk,48.6333,35.2167,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,69855.0,1804952905
Fedosiia,Fedosiia,45.0342,35.3792,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",,69145.0,1804677570
Kovel,Kovel,51.2167,24.7167,Ukraine,UA,UKR,Volynska Oblast,minor,67575.0,1804093604
Nizhyn,Nizhyn,51.0381,31.8861,Ukraine,UA,UKR,Chernihivska Oblast,minor,66981.0,1804714087
Smila,Smila,49.2117,31.8731,Ukraine,UA,UKR,Cherkaska Oblast,minor,65675.0,1804490050
Chervonohrad,Chervonohrad,50.3867,24.2289,Ukraine,UA,UKR,Lvivska Oblast,minor,64297.0,1804958186
Pokrovsk,Pokrovsk,48.2828,37.1828,Ukraine,UA,UKR,Donetska Oblast,minor,63437.0,1804910861
Pervomaisk,Pervomaisk,48.0439,30.85,Ukraine,UA,UKR,Mykolaivska Oblast,minor,63377.0,1804620055
Boryspil,Boryspil,50.35,30.95,Ukraine,UA,UKR,Kyivska Oblast,minor,62281.0,1804757407
Korosten,Korosten,50.95,28.6333,Ukraine,UA,UKR,Zhytomyrska Oblast,minor,61496.0,1804648682
Kolomyia,Kolomyia,48.5306,25.0403,Ukraine,UA,UKR,Ivano-Frankivska Oblast,minor,61269.0,1804285171
Rubizhne,Rubizhne,49.01,38.3714,Ukraine,UA,UKR,Luhanska Oblast,,59951.0,1804246584
Khartsyzk,Khartsyzk,48.0428,38.1425,Ukraine,UA,UKR,Donetska Oblast,,59763.0,1804780082
Druzhkivka,Druzhkivka,48.6214,37.5278,Ukraine,UA,UKR,Donetska Oblast,,59400.0,1804169216
Chornomorsk,Chornomorsk,46.3017,30.6569,Ukraine,UA,UKR,Odeska Oblast,,57983.0,1804199117
Bilhorod-Dnistrovskyi,Bilhorod-Dnistrovskyi,46.1833,30.35,Ukraine,UA,UKR,Odeska Oblast,minor,57210.0,1804836080
Irpin,Irpin,50.5167,30.25,Ukraine,UA,UKR,Kyivska Oblast,,56806.0,1804919448
Chystiakove,Chystiakove,48.0219,38.6264,Ukraine,UA,UKR,Donetska Oblast,,55511.0,1804591771
Stryi,Stryi,49.25,23.85,Ukraine,UA,UKR,Lvivska Oblast,minor,55100.0,1804862811
Novohrad-Volynskyi,Novohrad-Volynskyi,50.5833,27.6333,Ukraine,UA,UKR,Zhytomyrska Oblast,minor,55086.0,1804059567
Lozova,Lozova,48.8833,36.3833,Ukraine,UA,UKR,Kharkivska Oblast,minor,54026.0,1804128755
Pryluky,Pryluky,50.5892,32.3856,Ukraine,UA,UKR,Chernihivska Oblast,minor,53395.0,1804037997
Antratsyt,Antratsyt,48.1192,39.09,Ukraine,UA,UKR,Luhanska Oblast,,52353.0,1804312048
Enerhodar,Enerhodar,47.4989,34.6558,Ukraine,UA,UKR,Zaporizka Oblast,minor,52237.0,1804819053
Horishni Plavni,Horishni Plavni,49.0167,33.6667,Ukraine,UA,UKR,Poltavska Oblast,,52167.0,1804828787
Myrnohrad,Myrnohrad,48.2911,37.2681,Ukraine,UA,UKR,Donetska Oblast,,50360.0,1804762140
Novovolynsk,Novovolynsk,50.7333,24.1667,Ukraine,UA,UKR,Volynska Oblast,,49772.0,1804052073
Shakhtarsk,Shakhtarsk,48.0469,38.4686,Ukraine,UA,UKR,Donetska Oblast,minor,49482.0,1804275296
