city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Hebron,Hebron,31.5286,35.0969,West Bank,XW,XWB,,,201063.0,1934166495
Nāblus,Nablus,32.2222,35.2611,West Bank,XW,XWB,,,156906.0,1934360634
Ţūlkarm,Tulkarm,32.3125,35.0267,West Bank,XW,XWB,,,64532.0,1934334760
Yattir,Yattir,31.4478,35.09,West Bank,XW,XWB,,,63511.0,1934947354
Qalqīlyah,Qalqilyah,32.1903,34.9686,West Bank,XW,XWB,,,51683.0,1934513064
Janīn,Janin,32.4611,35.3,West Bank,XW,XWB,,,49908.0,1934524373
Ramallah,Ramallah,31.9,35.2,West Bank,XW,XWB,,,38998.0,1934604374
Az̧ Z̧āhirīyah,Az Zahiriyah,31.4078,34.9722,West Bank,XW,XWB,,,35924.0,1934407195
Bethlehem,Bethlehem,31.7044,35.2064,West Bank,XW,XWB,,,28591.0,1934388150
Baytūnyā,Baytunya,31.8889,35.1675,West Bank,XW,XWB,,,26604.0,1934209318
Idhnā,Idhna,31.5586,34.9761,West Bank,XW,XWB,,,26009.0,1934524225
Qabāţīyah,Qabatiyah,32.4097,35.2808,West Bank,XW,XWB,,,24439.0,1934173704
Jericho,Jericho,31.8561,35.46,West Bank,XW,XWB,,,20907.0,1934197330
Bayt Ūmmar,Bayt Ummar,31.6214,35.1022,West Bank,XW,XWB,,,16977.0,1934976309
Ya‘bad,Ya`bad,32.4467,35.1703,West Bank,XW,XWB,,,16012.0,1934942551
Bayt Jālā,Bayt Jala,31.715,35.1872,West Bank,XW,XWB,,,13484.0,1934810558
Bayt Sāḩūr,Bayt Sahur,31.7003,35.225,West Bank,XW,XWB,,,13281.0,1934945594
Abū Dīs,Abu Dis,31.7625,35.2658,West Bank,XW,XWB,,,12251.0,1934018131
Hebron,Hebron,31.5286,35.0969,West Bank,XW,XWB,,,201063.0,1934166495
Nāblus,Nablus,32.2222,35.2611,West Bank,XW,XWB,,,156906.0,1934360634
Ţūlkarm,Tulkarm,32.3125,35.0267,West Bank,XW,XWB,,,64532.0,1934334760
Yattir,Yattir,31.4478,35.09,West Bank,XW,XWB,,,63511.0,1934947354
Qalqīlyah,Qalqilyah,32.1903,34.9686,West Bank,XW,XWB,,,51683.0,1934513064
Janīn,Janin,32.4611,35.3,West Bank,XW,XWB,,,49908.0,1934524373
Ramallah,Ramallah,31.9,35.2,West Bank,XW,XWB,,,38998.0,1934604374
Az̧ Z̧āhirīyah,Az Zahiriyah,31.4078,34.9722,West Bank,XW,XWB,,,35924.0,1934407195
Bethlehem,Bethlehem,31.7044,35.2064,West Bank,XW,XWB,,,28591.0,1934388150
Baytūnyā,Baytunya,31.8889,35.1675,West Bank,XW,XWB,,,26604.0,1934209318
Idhnā,Idhna,31.5586,34.9761,West Bank,XW,XWB,,,26009.0,1934524225
Qabāţīyah,Qabatiyah,32.4097,35.2808,West Bank,XW,XWB,,,24439.0,1934173704
Jericho,Jericho,31.8561,35.46,West Bank,XW,XWB,,,20907.0,1934197330
Bayt Ūmmar,Bayt Ummar,31.6214,35.1022,West Bank,XW,XWB,,,16977.0,1934976309
Ya‘bad,Ya`bad,32.4467,35.1703,West Bank,XW,XWB,,,16012.0,1934942551
Bayt Jālā,Bayt Jala,31.715,35.1872,West Bank,XW,XWB,,,13484.0,1934810558
Bayt Sāḩūr,Bayt Sahur,31.7003,35.225,West Bank,XW,XWB,,,13281.0,1934945594
Abū Dīs,Abu Dis,31.7625,35.2658,West Bank,XW,XWB,,,12251.0,1934018131
